messageKey,,en,de,es,fr,pt,ru
blueprint.horizons.type.description.remote_release_flechette_launcher_fixed,Flechette launcher capable of firing a remotely detonated flechette round. Hold trigger to delay detonation of flechettes.,Flechette launcher capable of firing a remotely detonated flechette round. Hold trigger to delay detonation of flechettes.,"Flechette -Launcher, mit dem eine ferngezündete Flechette -Runde entlastet werden kann. Halten Sie Trigger, um die Detonation von Flechetten zu verzögern.",Flechette Launcher capaz de disparar una ronda de flechette detonada remotamente. Mantenga el activador para retrasar la detonación de los flechones.,Flechette Launcher capable de tirer un rond Flechette à distance fait exploser. Tenez-vous en détonation de détonation des flechettes.,Flechette Launcher capaz de disparar uma rodada de flechette detonada remotamente. Segure o gatilho para atrasar a detonação de flechettes.,"Flechette Launcher, способная запустить отдаленно взорный раунд Flechette. Держите триггер, чтобы задержать детонацию флешеттов."
blueprint.horizons.type.description.remote_release_flechette_launcher_turreted,Flechette launcher capable of firing a remotely detonated flechette round. Hold trigger to delay detonation of flechettes.,Flechette launcher capable of firing a remotely detonated flechette round. Hold trigger to delay detonation of flechettes.,"Flechette -Launcher, mit dem eine ferngezündete Flechette -Runde entlastet werden kann. Halten Sie Trigger, um die Detonation von Flechetten zu verzögern.",Flechette Launcher capaz de disparar una ronda de flechette detonada remotamente. Mantenga el activador para retrasar la detonación de los flechones.,Flechette Launcher capable de tirer un rond Flechette à distance fait exploser. Tenez-vous en détonation de détonation des flechettes.,Flechette Launcher capaz de disparar uma rodada de flechette detonada remotamente. Segure o gatilho para atrasar a detonação de flechettes.,"Flechette Launcher, способная запустить отдаленно взорный раунд Flechette. Держите триггер, чтобы задержать детонацию флешеттов."
blueprint.horizons.type.description.resistance_augmented,"Power draw and integrity are compromised by the modification, but with the advantage of increased overall damage resistance.","Power draw and integrity are compromised by the modification, but with the advantage of increased overall damage resistance.","Leistungsabzug und Integrität werden durch die Modifikation beeinträchtigt, jedoch mit dem Vorteil eines erhöhten Gesamtschadenswiderstandes.","El sorteo de la potencia y la integridad se ven comprometidos por la modificación, pero con la ventaja de una mayor resistencia general al daño.","Le tirage au sort et l''intégrité sont compromis par la modification, mais avec l''avantage d''une résistance globale globale accrue.","O desenho e a integridade de potência são comprometidos pela modificação, mas com a vantagem do aumento da resistência geral à dano.","Нанижение мощности и целостность скомпрометированы модификацией, но с преимуществом повышения общего сопротивления повреждениям."
blueprint.horizons.type.description.reverberating_cascade,"Experimental munitions that overload shields on impact, directly damaging the shield generator.","Experimental munitions that overload shields on impact, directly damaging the shield generator.","Experimentelle Munition, die Schilde beim Aufprall überlasten und den Schildgenerator direkt beschädigen.","Municiones experimentales que sobrecargan los escudos en el impacto, dañando directamente el generador de escudo.","Les munitions expérimentales qui surchargent les boucliers sur l''impact, endommageant directement le générateur de bouclier.","Munições experimentais que sobrecarregam os escudos do impacto, danificando diretamente o gerador de escudo.","Экспериментальные боеприпасы, которые перегружают щиты при ударе, непосредственно повреждая генератор щита."
blueprint.horizons.type.description.scramble_spectrum,Experimental upgrade that allows hull strikes to potentially trigger random malfunctions on the target.,Experimental upgrade that allows hull strikes to potentially trigger random malfunctions on the target.,"Experimentelles Upgrade, mit dem Hull -Streiks möglicherweise zufällige Fehlfunktionen des Ziels auslösen können.",La actualización experimental que permite que los huelgas de casco desencadenen un mal funcionamiento aleatorio en el objetivo.,Mise à niveau expérimentale qui permet aux frappes de la coque de déclencher potentiellement des dysfonctionnements aléatoires sur la cible.,Atualização experimental que permite que ataques de casco potencialmente desencadeiam mau funcionamento aleatório no alvo.,"Экспериментальное обновление, которое позволяет ударам корпуса потенциально вызвать случайные неисправности на цель."
blueprint.horizons.type.description.screening_shell,"Modified firing and targeting mechanism, decreasing reload times and increasing effectiveness against munitions.","Modified firing and targeting mechanism, decreasing reload times and increasing effectiveness against munitions.","Der modifizierte Brand- und Targeting -Mechanismus, verringert die Nachladezeiten und eine zunehmende Wirksamkeit gegen Munition.","Mecanismo modificado de disparo y focalización, disminución de los tiempos de recarga y aumentando la efectividad contra las municiones.","Mécanisme de tir et de ciblage modifié, diminuant les temps de rechargement et augmentation de l''efficacité contre les munitions.","Mecanismo de disparo e direcionamento modificado, diminuindo os tempos de recarga e aumentando a eficácia contra as munições.","Модифицированный механизм стрельбы и нацеливания, уменьшение времени перезагрузки и повышение эффективности против боеприпасов."
blueprint.horizons.type.description.shielded,"Increases the module''s integrity, but at the cost of passive power draw.","Increases the module''s integrity, but at the cost of passive power draw.","Erhöht die Integrität des Moduls, aber auf Kosten der passiven Kraft.","Aumenta la integridad del módulo, pero a costa del sorteo de energía pasiva.","Augmente l''intégrité du module, mais au prix du tirage au sort passif.","Aumenta a integridade do módulo, mas à custa do desenho de energia passiva.","Увеличивает целостность модуля, но за счет пассивного розыгрыша мощности."
blueprint.horizons.type.description.shielded_fsd,"A small increase to mass is offset by improved Integrity and heat generation, along with a small increase to range.","A small increase to mass is offset by improved Integrity and heat generation, along with a small increase to range.",Ein kleiner Anstieg der Masse wird durch eine verbesserte Integrität und Wärmeerzeugung zusammen mit einem kleinen Anstieg des Bereichs ausgeglichen.,"Un pequeño aumento de la masa se compensa con una mejor integridad y generación de calor, junto con un pequeño aumento al rango.","Une petite augmentation de la masse est compensée par une amélioration de l''intégrité et de la génération de chaleur, ainsi qu''une petite augmentation de la plage.","Um pequeno aumento na massa é compensado pela integridade e geração de calor aprimoradas, juntamente com um pequeno aumento na faixa.","Небольшое увеличение массы компенсируется улучшенной целостностью и генерацией тепла, наряду с небольшим увеличением диапазона."
blueprint.horizons.type.description.shift_lock_canister,"Experimental munitions that cause all frame shift drives caught in the blast radius to reboot, at the cost of reduced damage.","Experimental munitions that cause all frame shift drives caught in the blast radius to reboot, at the cost of reduced damage.","Experimentelle Munition, die alle Rahmenverschiebungsantriebe im Sprengradius zum Neustart auf Kosten reduzierter Schäden verursachen.","Municiones experimentales que causan que todas las unidades de cambio de cuadro atrapadas en el radio de explosión para reiniciar, a costa de un daño reducido.","Les munitions expérimentales qui provoquent tous les entraînements de décalage de trame capturés dans le rayon de souffle à redémarrer, au prix des dommages réduits.","Munições experimentais que causam todos os movimentos de mudança de quadro capturados no raio da explosão para reiniciar, ao custo de danos reduzidos.","Экспериментальные боеприпасы, которые приводят к перезагрузке всех сдвигов кадров, попавших в радиус взрыва, за счет снижения повреждения."
blueprint.horizons.type.description.shock_cannon_fixed_large,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_fixed_medium,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_fixed_small,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_gimballed_large,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_gimballed_medium,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_gimballed_small,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_turreted_large,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_turreted_medium,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.shock_cannon_turreted_small,"Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Cannon capable of firing almost as fast the trigger can be pulled, firing very accurate, fast moving energy projectiles that can do high damage if successive shots land. The weapon has a built in auto loading action that will slowly reload over time. If the clip empties completely, a longer full reload will be undertaken.","Kanone, das in der Lage ist, fast so schnell zu schießen, kann der Auslöser gezogen werden, was sehr genaue, schnell bewegende Energieprojektile abfeuern kann, die hohe Schäden anrichten können, wenn aufeinanderfolgende Aufnahmen landen. Die Waffe verfügt über eine eingebaute automatische Lademaktion, die sich im Laufe der Zeit langsam neu lädt. Wenn der Clip vollständig leer wird, wird eine längere vollständige Wiederbelastung durchgeführt.","Cañón capaz de disparar casi tan rápido el gatillo se puede extraer, disparando proyectiles de energía de movimiento muy preciso y rápido que pueden causar un alto daño si los disparos sucesivos aterrizan. El arma tiene una acción de carga automática incorporada que recargará lentamente con el tiempo. Si el clip se vacía por completo, se realizará una recarga completa más larga.","Des canons capables de tirer presque aussi rapidement, la gâchette peut être tirée, tirant des projectiles d''énergie très précis et en mouvement rapide qui peuvent faire des dégâts élevés si des tirs successifs atterrissent. L''arme a une action de chargement automatique intégrée qui se rechargera lentement au fil du temps. Si le clip vide complètement, un rechargement complet sera entrepris.","Cannon capaz de disparar quase tão rápido o gatilho pode ser puxado, disparando projéteis de energia em movimento rápido e muito preciso que podem causar altos danos se atirar sucessivamente terras. A arma possui uma ação de carregamento automático embutido que se recarregará lentamente ao longo do tempo. Se o clipe esvaziar completamente, uma recarga completa mais longa será realizada.","Кэннон, способная стрелять почти так же быстро, курок можно нанести, стреляя очень точные, быстро движущиеся энергетические снаряды, которые могут нанести высокий урон, если приподнятые выстрелы. Оружие имеет встроенное действие автоматической загрузки, которое со временем будет медленно перезагружаться. Если клип полностью опустошится, будет предпринята более длинная полная перезагрузка."
blueprint.horizons.type.description.short_range_blaster,Range is reduced and heat increased to enhance the weapon''s damage with this modification.,Range is reduced and heat increased to enhance the weapon''s damage with this modification.,"Die Reichweite wird verringert und die Wärme erhöht, um den Schaden der Waffe mit dieser Modifikation zu verbessern.",El rango se reduce y el calor aumenta para mejorar el daño del arma con esta modificación.,La plage est réduite et la chaleur a augmenté pour améliorer les dégâts de l''arme avec cette modification.,A faixa é reduzida e o calor aumentou para melhorar o dano da arma com essa modificação.,"Диапазон уменьшается, а тепло увеличивается, чтобы улучшить ущерб оружию с помощью этой модификации."
blueprint.horizons.type.description.smart_rounds,Friend or foe targeting upgrade that causes rounds to self-destruct before damaging ships that are not currently targeted.,Friend or foe targeting upgrade that causes rounds to self-destruct before damaging ships that are not currently targeted.,"Freund oder Feind, das sich auf ein Upgrade auszeichnet, das sich selbst zerstören, bevor Schiffe, die derzeit nicht ins Visier genommen werden, beschädigt werden.",Amigo o enemigo de la actualización que hace que las rondas se autodestruyan antes de dañar los barcos que actualmente no están dirigidos.,Ami ou ennemis du ciblage de la mise à niveau qui provoque des rondes d''autodestruction avant d''endommager les navires qui ne sont pas actuellement ciblés.,Atualização de direcionamento de amigos ou inimigos que faz com que as rodadas se autodestrutem antes de danificar os navios que não são alvo no momento.,"Друг или противник, нацеленный на обновление, которое приводит к самоуничтожению, прежде чем повредить корабли, которые в настоящее время не подвергаются нацеливанию."
blueprint.horizons.type.description.specialised,"Module integrity is lowered and power draw increased with this modification, in exchange for quicker boot up times and better thermal load handling.","Module integrity is lowered and power draw increased with this modification, in exchange for quicker boot up times and better thermal load handling.",Die Integrität der Modul wird gesenkt und die Leistungsnahrung erhöht sich mit dieser Modifikation im Austausch für schnellere Startzeiten und eine bessere thermische Lasthandhabung.,"La integridad del módulo se reduce y la potencia aumenta con esta modificación, a cambio de tiempos de arranque más rápidos y un mejor manejo de carga térmica.","L''intégrité du module est abaissée et le tirage de puissance a augmenté avec cette modification, en échange de temps de démarrage plus rapides et d''une meilleure gestion thermique.","A integridade do módulo é reduzida e o consumo de energia aumentou com essa modificação, em troca de tempos de inicialização mais rápidos e melhor manuseio de carga térmica.","Целостность модуля снижается, а рисование мощности увеличивалось с этой модификацией, в обмен на более быстрое время загрузки и лучшую обработку тепловой нагрузки."
blueprint.horizons.type.description.stripped_down,Key components replaced with versions crafted from lightweight materials and all extraneous parts removed entirely to reduce mass.,Key components replaced with versions crafted from lightweight materials and all extraneous parts removed entirely to reduce mass.,"Schlüsselkomponenten ersetzt durch Versionen, die aus leichten Materialien hergestellt wurden, und alle fremden Teile, die vollständig entfernt wurden, um die Masse zu reduzieren.",Los componentes clave reemplazados por versiones diseñadas a partir de materiales livianos y todas las piezas extrañas eliminadas por completo para reducir la masa.,Composants clés remplacés par des versions fabriquées à partir de matériaux légers et de toutes les pièces étrangères entièrement supprimées pour réduire la masse.,Os principais componentes substituídos por versões criadas a partir de materiais leves e todas as peças estranhas removidas inteiramente para reduzir a massa.,"Ключевые компоненты заменены версиями, изготовленными из легких материалов, и все посторонние детали, полностью удаленные для уменьшения массы."
