system,body,distance,x,y,z,material
Hypo Phlue EU-A d6,BC 4 b,70007.73289,-19514.875,295.5625,-8671.625,tellurium
Hypau Phlai DZ-A d4,B 3 d,327954.4462,-13046.3125,446.375,-8690.21875,tellurium
Phroea Phio TR-H d11-33,BC 2 b,149034.8299,2626.9375,-30.9375,-3897.21875,tellurium
Eol Hypue DA-H c13-1,B 11 f,15085.24463,20717.90625,-78.875,-13272.6875,tellurium
Plua Thua EW-E c27-0,B 2 b,27864.28354,14351.15625,834.53125,-2451.71875,tellurium
Gooroa TO-H d10-6,B 3 a,147944.047,26488.5625,-894.28125,39548.6875,tellurium
Slegao XM-M c10-1,BC 1 a,385592.4609,-740.65625,-61.84375,-3177.78125,tellurium
Oodgosly AM-D d12-7,BCD 4,134874.5972,34869.15625,159.65625,11556.25,tellurium
Trigneia GA-Q d5-6,B 4 c,33586.72082,-23197.71875,-1016.75,40389.4375,tellurium
Hypua Hypooe ED-X c16-0,C 3 a,45725.08421,-12303.9375,-704.875,-8022.4375,tellurium
NGC 2244 Sector NT-Q c5-0,CD 4 b,44512.86214,1799.25,-295.75,-4403.375,tellurium
Hyphokoe OV-K d9-2,B 2 b,402308.6699,-21811.21875,-255.9375,44538.28125,tellurium
Syroifoe QJ-F d12-9,B 2 a,508295.3226,-14235.625,-300.28125,-6345.5625,tellurium
Iowroks VA-L d9-4,B 10 d,36820.88424,31392.21875,-173.90625,10022.40625,tellurium
Hegoo AA-Q d5-2,B 6 b,342281.8566,1866.21875,220.25,-3132.34375,tellurium
Dreeckia EB-W c2-0,C 2 a,30979.82672,4015,259.15625,64340.3125,tellurium
Flyua Eork XY-Y d1-8,BC 3 c,283773.9338,2464.125,-195.5,-3404.875,tellurium
Auphaisly TA-C d14-0,B 4 a,102639.0877,-6852.40625,-255.5,51345.15625,tellurium
Eishoqs IL-P d5-3,C 4 a,364113.8334,-27412.40625,6.6875,17399.53125,tellurium
Byue Phlue RM-V c2-0,B 2 c,13827.57634,35019.46875,136.8125,13140.84375,tellurium
Rhoolaa YR-H d11-8,B 3 a,63561.23114,5589.34375,-72.65625,61351.15625,tellurium
Hege GT-Z c13-3,B 6 c,33750.81747,6342.4375,30.9375,-2995.46875,tellurium
Truechiae KR-N d6-9,D 3 d,207416.5373,-1943.3125,-19.96875,53301.96875,tellurium
Gludgaa VJ-G d11-2,B 7 a,159316.2368,-125.40625,659.03125,-3879.84375,tellurium
Aidoms MT-U c2-0,BCD 3 c,25013.26179,9939.78125,-20.46875,-15020.375,tellurium
Myeia Thaa MH-M d7-1,B 5 a,145313.3537,-1766.28125,155.78125,64881.6875,tellurium
Plae Trua UT-Q d5-0,BC 2 b,16633.22207,19999.4375,1892.375,-506.09375,tellurium
Phraa Hype LE-E d13-9,B 2 b,71647.40035,11094.25,-38.28125,-6301.875,tellurium
Phrio Hype TD-T d3-1,BC 1 e,30087.10595,4228.71875,-1163.625,-7141.125,tellurium
Stralaae ZV-E d11-1,B 4 a,397406.7743,-34317.46875,-19.1875,6349,tellurium
Swueneia JG-O c9-1,B 5 d,88138.40031,2709.09375,-46.25,49258.1875,tellurium
Yaimuae EC-S d5-0,B 4 c,187589.1596,40271.9375,-173.5625,17383,tellurium
Dryi Aewsy IL-E c25-1,B 4 c,165922.3129,-3980.59375,-9.9375,-11503.15625,tellurium
Chau Thua HQ-V c16-0,B 5 a,52146.60216,-4102.78125,260.125,58535.96875,tellurium
2MASS J05351904+0954550,B 2 b,65605.41309,387.375,-315.375,-1436.65625,tellurium
Hypo Aeb YI-F c25-0,CD 8 b,15187.37458,-10139.6875,178.53125,-7661.625,tellurium
Pyriveae VB-J d10-8,C 2 e,507460.9289,-1033.4375,-241.53125,54918.0625,tellurium
Scheau Phio XK-D c1,B 5 b,337200.4429,1498.0625,-555.40625,-6181.9375,tellurium
Ooscs Aewsy HN-Z c27-1,B 1 a,121517.6066,21272.0625,62.78125,-12649.09375,tellurium
Pyrie Eurk YJ-P c19-0,B 2 b,283802.7052,-1741.46875,56.34375,62495.71875,tellurium
Flyue Gruia EE-N c21-0,D 3 b,439557.9486,-24059.5,-942.625,51058.625,tellurium
Ploi Thua RE-O c20-1,BC 6 e,106348.8692,-644.1875,207.96875,-2718.25,tellurium
Hyuerts OH-K c25-0,C 2 a,330804.2124,10978.34375,-59.75,-12783.03125,tellurium
Spliehn BL-O d6-0,CD 6 a,112370.1446,17161.5625,335.46875,-13276.8125,tellurium
Foju QE-Q c5-0,C 1,90251.34776,-30783.75,136.5,3017.1875,tellurium
Oemolk KK-C d14-2,B 1 c,207050.3987,-31545.9375,-77.5625,5313.65625,tellurium
Hyiechao NX-L d7-10,C 5 a,18757.28948,23588.28125,-7.1875,48277,tellurium
Hypiae Aihm QM-C c13-3,B 3 b,109597.6184,2212.625,244.46875,-5603.15625,tellurium
Col 107 Sector WP-V d3-11,B 5 a,262995.8098,2618.15625,425.875,-5274,tellurium
Scheau Phoea WY-Z c16-22,B 8 a,189331.28,4183.65625,-92.90625,-5437.90625,tellurium
Smooroa KN-Q d6-86,B 9 b,234209.0922,-18257.34375,-90.0625,39206.09375,tellurium
Hypiae Aed VG-K c9-0,B 5 a,163117.0422,3819.5,379.53125,-8343.125,tellurium
Pra Dryou GP-A d1,BC 4 c,14550.13197,26506.28125,-1044.90625,287.875,tellurium
Hypiae Aip EV-P d5-109,B 4 b,246787.265,4600.03125,164.8125,-5644.46875,tellurium
Truechou QH-X c16-1,B 4 c,21798.26053,18.96875,654.65625,53444.625,tellurium
Pyult LN-T c19-6,B 1 b,43199.25994,-5.96875,-332.1875,-4051.28125,tellurium
Bleia Byio PX-B c16-0,B 2 a,206961.101,6700,-59.125,55935.625,tellurium
Dryooe Eaescs HH-S c18-0,C 1 b,24347.91539,-12015.84375,-946.40625,-9193.375,tellurium
Hegeia FZ-S d3-10,C 1 a,130005.6944,-1373.25,44.46875,-3234.53125,tellurium
Ploxu FT-G d11-0,BCD 3 f,50525.62213,4051.21875,-431.5625,57533.8125,tellurium
M46 Sector MX-T c3-0,B 12 c,62419,3499.25,256.875,-2864.78125,tellurium
Iopornt KD-Z d1-0,BCD 2 a,31092.75264,-968.875,-1458.1875,-3464.3125,tellurium
Eorld Phoe EO-F d12-1,B 11 b,52178.52316,-966.28125,-229.09375,-10209.53125,tellurium
Eocs Aim WE-R d4-0,B 11 c,24088.30369,11694.75,23.53125,-10853.75,tellurium
Phrua Phoe UE-G d11-8,B 3 b,300271.6037,15046.78125,-723.875,-3903.5,tellurium
Gludgeia MK-D c26-1,C 1 f,160113.5857,1714.75,161.375,-3757.84375,tellurium
Xothae LX-L d7-1,B 7 a,67263.51222,-36718.28125,-18.59375,30367.75,tellurium
Phoi Aec RC-Z c27-3,C 3 a,80688.95344,1259.09375,-0.0625,-6232.78125,tellurium
Eor Ain KR-C c26-0,B 3 b,207110.7521,-4061.6875,-24.34375,-10179.21875,tellurium
Eofairld KL-P d5-4,B 2 a,53726.80654,-31073.75,44.90625,10990.1875,tellurium
Bleae Phyloea OP-E d12-0,B 7 a,416581.4259,-954.40625,1941.21875,53802.1875,tellurium
Flyua Bli FK-C d14-50,C 7 a,64217.09761,1366.875,-66,48819.125,tellurium
Pleia Fleau KT-I d9-8,B 4 d,143911.2737,-25604.03125,206.5,38173.65625,tellurium
Yepua LH-U c16-0,B 1 b,55923.95032,-33925.625,-1.375,24012.25,tellurium
Strieche DN-H d11-77,B 5 b,37089.91992,5835.71875,-152.65625,48560.875,tellurium
Hypuae Ain DI-D c28-1,B 5 a,32752.06524,1181.75,861.4375,-4980.25,tellurium
Preae Broae WD-K d8-46,B 3 b,206385.1861,3526.21875,9.4375,52164.9375,tellurium
Fedgo SL-J d10-2,C 5 a,65235.5289,6710.8125,-40,-2699.53125,tellurium
Pro Flee IY-Q c18-0,B 7 c,210541.9088,-39391.3125,18.59375,39438.375,tellurium
Myneadguia KF-D d13-0,B 8 a,217696.9441,-17983.125,2067.84375,38467.84375,tellurium
Drootie CT-R c5-4,B 6 d,24939.50772,-222.0625,-823.46875,51662.25,tellurium
Slacheae KH-P c8-2,B 2 a,16188.69501,-34752.5,-193.28125,45384,tellurium
Smootue CL-X c17-0,BC 3 a,12785.63614,-5024.59375,1016.1875,52177.375,tellurium
Truechiae KT-U c2-5,B 8 a,38427.51907,-1630,-7.0625,52819.34375,tellurium
Chreeseau OM-W d1-64,D 8 c,456961.6744,-26412,-1.0625,50315.25,tellurium
Pheia Aihm XA-R c20-0,B 9 a,25027.61902,8695.78125,778.03125,-4019.0625,tellurium
Byaa Thoi KA-A d0,C 6 g,345702.9451,-35091.03125,-11.71875,2781.40625,tellurium
Hypi Aewsy NX-L d7-1,BCD 2 b,66094.94354,14651.625,19.4375,-8044.6875,tellurium
Viqs YI-G c24-0,BCD 5 a,66166.39148,-64.53125,17.84375,-11544.40625,tellurium
Prue Flyeia RQ-W c18-0,CD 3 a,59967.51517,-20822.28125,-1339.96875,39419.5,tellurium
Eowyg Aescs YO-A d1,C 12 a,36593.8135,13103.28125,235.125,-13863.15625,tellurium
Oochonz HX-B c16-0,BC 3,71953.91079,2542.5,-36.65625,-1650.0625,tellurium
Plae Thaa ZO-Q c5-5,B 5 f,417412.0181,17111.75,228.4375,-3363.40625,tellurium
Tyrauha KZ-D d13-1,B 11 a,60268.33014,27463.40625,-1440.125,32058.21875,tellurium
Phoo Phlai IR-N d6-30,BC 3 c,98134.75968,-13601.125,-21.21875,-6880.5625,tellurium
Prai Dryiae CB-O d6-0,B 3 a,17813.46379,20737.34375,-1138,786.71875,tellurium
Thuechaea WE-G c27-33,B 2 b,42752.04416,502.15625,-178.8125,53890.78125,tellurium
Pyurks GA-Z c16-4,B 11 e,26180.43261,1621.8125,-276.96875,-4173.84375,tellurium
Preae Theia RD-R c18-2,C 2 b,158021.4153,3262,84.03125,-1511.8125,tellurium
Hypo Aeb GL-J c23-0,B 2 b,49984.59657,-10286.40625,322.40625,-7716.40625,tellurium
Dryoea Phoe CT-O d7-1,B 3 b,100886.5014,-5122.65625,-99.5,-9383.90625,tellurium
Truechiae QE-Y c14-17,B 6 a,16153.3722,-2291.8125,63.71875,53348.03125,tellurium
Swuenoi UA-C d14-8,B 11 a,34083.30435,-371.875,-190.8125,50120.65625,tellurium
Synuedea WS-V c17-0,B 2 b,295985.9788,-24141.28125,-624.0625,-302.875,tellurium
Smojaae AV-A c28-2,B 2 b,25848.28388,25629.65625,337.28125,3997.9375,tellurium
Truechiae TF-F d11-32,B 3 b,85486.52976,-2467.28125,144,53680.5,tellurium
Smojaae LI-J b23-1,B 7 c,294634.0543,26651.03125,132.1875,3281.09375,tellurium
Ouchoxy ST-Z c13-3,C 9 b,42560.5827,20898.46875,26.8125,-1725.75,tellurium
Spliergh NG-Y d1,C 4 g,68579.6978,8364.9375,4.3125,-13763.65625,tellurium
Myoageae HB-W c15-2,B 5,144268.0195,-37753.9375,5.84375,41876.125,tellurium
Hypiae Aip FF-G c11-15,B 4 b,51855.07675,4733.5625,292.125,-5702.21875,tellurium
Eafoff PJ-T c19-0,B 3 a,37300.15757,8777.09375,900.09375,-5343.46875,tellurium
Juemai DN-Q d6-0,D 3 a,275460.4042,-38058.15625,-93.625,26378.46875,tellurium
Flyua Eork TV-Z c2-1,B 1 b,172298.6841,1608.4375,-191.40625,-3494.28125,tellurium
Hyuedeae TD-K d8-37,B 2 b,38475.79315,22418.3125,23.90625,-324.28125,tellurium
Byeia Bre FG-Y d47,BC 3 c,73792.59865,-2527.90625,41.34375,56624.59375,tellurium
Pheia Aihm SX-U d2-11,C 4 b,151786.8965,8296.21875,61.6875,-4625.84375,tellurium
Plio Flee ZS-U d2-1,B 8 e,20000.87029,-38648.5625,15.6875,37591.53125,tellurium
Hypoea Hypooe XU-I c12-7,C 8 d,40365.42443,-18014.625,-69.5,-8194.5,tellurium
Croideou WG-K c25-0,CD 3 b,23471.73265,3881.9375,-1332.90625,-6351.25,tellurium
NGC 2682 FBC 1877,B 4 b,22535.83443,1439.0625,1529.28125,-2014.5625,tellurium
Phrio Hype KZ-F c27-11,CD 3 a,79734.8795,3797.8125,-220.21875,-6289.28125,tellurium
Eorgh Hypa UM-V c18-0,C 3 c,20872.17286,17250.78125,-266.625,-13056.8125,tellurium
Hypi Eurk CZ-S d3-0,B 8 d,357931.6725,12492.6875,-13.71875,-16054.03125,tellurium
Phroi Phoe EX-Y c28-0,B 4 c,22276.64421,-302.40625,-979.9375,-3661.3125,tellurium
Eolls Phio QY-U c5-3,B 1 b,426669.7162,22669.6875,-126.9375,-11029.5,tellurium
Phrio Greau MT-O d7-0,C 4 c,61325.40768,-36384.75,-98.96875,36700.96875,tellurium
Dryooe Eaescs KD-D c15-1,B 4 b,333822.6102,-11717.53125,-177.9375,-9357.59375,tellurium
Puwee VV-D d12-1,BCDE 1 c,21689.88737,-1102.375,300.125,62696.75,tellurium
Cyoide JR-L d8-5,C 2 b,482346.6649,2445.125,-600.90625,-6695.78125,tellurium
Eowyg Airg QN-B d13-1,B 6 c,31031.26803,-14301.0625,62.1875,-10173.15625,tellurium
Cyuefou YZ-G d10-6,B 3 d,113733.8071,-24855.5,196.21875,-115.1875,tellurium
Hegoo IP-E c25-2,B 3 c,47018.21153,1486.90625,48.84375,-2542.5,tellurium
Hypi Ain HH-D d12-23,C 11 a,234250.2359,14781.84375,90.46875,-5134.40625,tellurium
Dryeae Aescs TZ-G c10-0,B 2 a,154213.5397,12969.75,63.375,-12139.875,tellurium
Hypuae Ain GS-A d14-16,B 4 a,93761.30212,792.78125,462.03125,-4936.8125,tellurium
Hegoo PA-D c26-3,B 7 a,36958.16481,1674.4375,93.65625,-2502.21875,tellurium
Strieche BW-T d4-90,B 6 b,188613.6843,5778.46875,-127.78125,48046.53125,tellurium
Eiphain YK-P d5-12,B 3 a,144740.268,-34616.40625,-8.59375,17413.1875,tellurium
Hypoae Aihm WP-O d6-9,BC 4 b,192954.2559,2821.46875,429,-5615.875,tellurium
Myeadou XD-R c5-0,C 6 b,53648.35815,3178.1875,335.65625,-7222.6875,tellurium
Flyue Eop FW-U d3-0,B 3 a,476320.1609,17334.125,-433.625,-3269.5625,tellurium
Braisao ST-P d6-4,BC 2 a,107628.0703,25270.59375,-358.28125,31533.84375,tellurium
Phoi Ais SO-Q d5-0,D 2 a,63628.96675,1734.28125,1745.09375,-4371.1875,tellurium
Slegoea EC-S d5-0,B 8 b,205976.5499,-22451.96875,-183.5,-3141.78125,tellurium
Schafuia CQ-K c10-0,B 11 b,65029.24857,-14382.6875,825.75,-8296.28125,tellurium
Outotz LZ-O c19-4,C 4 b,109080.0636,138.125,-8.375,-1495.15625,tellurium
Proo Eop IX-K c24-0,B 2 b,125045.6011,11696.4375,-301.375,-1301.46875,tellurium
Phroea Phoea AA-X d2-3,B 2 b,457886.5734,6064.1875,-310.90625,-4615.15625,tellurium
Greae Byoe AR-C d32,B 13 d a,72548.05828,-6247.53125,-173.4375,56567.78125,tellurium
Qiefoea MA-T c18-2,B 5 a,155673.1415,5395.25,-789.40625,-5367.25,tellurium
Chreeseau UX-L c7-16,B 4 c,247555.8105,-26359.5625,-6.46875,50459.25,tellurium
Crooke AA-A c1,B 6 a,39343.37984,-29490.28125,-8.4375,11766.4375,tellurium
Sphaulooe KC-C d8,B 6 a,47245,27310.46875,-415,28397.53125,tellurium
Hegou EA-Z d4,B 4 b,360715.3888,10823.40625,350.15625,-3504.53125,tellurium
Cyoidai TC-V d2-0,B 6 a,43887.68731,863.25,-1066.15625,-7186.96875,tellurium
Myeadou KR-V d2-1,B 4 b,110496.6475,3183.03125,430.1875,-7221.34375,tellurium
Eofairld LL-P d5-37,C 3 b,302037.439,-30988,40.25,11008.34375,tellurium
Phoi Aed DF-R d4-86,B 10 a,407355.5542,4497.84375,-16.59375,-7046.03125,tellurium
Eephogy II-Q d6-0,B 5 a,52615.18037,-39100.28125,-173.71875,17419.28125,tellurium
Prue Dryoo KU-M d8-14,B 10 a,192391.244,-24219.8125,-107.46875,988.28125,tellurium
Pha Aim XV-E c11-7,C 1 a,14901.80746,17925.59375,-23.40625,-4391,tellurium
Hypoea Hypooe XU-I c12-7,C 8 c,40365.18451,-18014.625,-69.5,-8194.5,tellurium
Thuecheae XJ-T c6-13,CD 3 a,14318.73169,-1449.9375,-66.375,53006.25,tellurium
Eorgh Hypa KF-L d9-9,B 11 a,162893.4166,16586.90625,-104.15625,-13038.96875,tellurium
Tiefeia ZP-M c21-1,BC 1 c,37981.60408,-18335.25,218.4375,-5262.46875,tellurium
Blaa Byio GI-I c26-18,B 2 d,157915.6769,1494.40625,-80.21875,56375.78125,tellurium
Pyriveae PY-R c20-6,BC 9 c,22610.55993,-1192.5,-286.75,54874.3125,tellurium
Outotz KC-A c15-0,B 2 c,131523.396,834.8125,485.15625,-1670.125,tellurium
Phreia Graae DW-C d77,B 3 b,40138.6667,-17398,-87.125,36125.34375,tellurium
Chaa Eop FC-H c25-0,B 8 b,223168.7186,-6582.1875,-740.65625,58896.03125,tellurium
Dehio EN-H d11-2,BC 1 a,377584.1194,-33791.09375,-154.125,10175.53125,tellurium
Outopps ML-S c18-0,B 2 a,325866.944,-1251.65625,335.28125,-1537.90625,tellurium
Plaa Thua AX-J c9-0,B 3 e,30113.7567,46.4375,296.5,-3191.03125,tellurium
Pleia Eun CV-G d10-10,B 5 c,88820.25734,-27201.4375,62.71875,-105.53125,tellurium
Pyrivo PO-K c11-38,C 6 b,192069.27,-1539.46875,-83.96875,54474.65625,tellurium
Hypiae Aihm EC-M d7-74,B 6 c,146252.2059,1261.1875,119.6875,-5470.25,tellurium
Hegau AE-G c24-24,B 1 c,482548.5253,15326.3125,-0.59375,-2579.90625,tellurium
Phloing NA-Q c8-0,B 1 b,201464.4458,1754.375,-32.8125,-14748.03125,tellurium
Thuecheae IK-C d14-53,B 1 b,370330.137,-2280.1875,-76.78125,53945.53125,tellurium
Lyruewry OV-P c5-7,B 9 a,14413.97779,-32530.28125,82.625,13283.34375,tellurium
Byua Chraei ZV-P c5-27,B 7 a,426017.2025,-2645.75,68.53125,54225.28125,tellurium
Outotz LJ-O c20-0,B 2 d,480072.0682,460.65625,219.09375,-1462.5625,tellurium
Cheia Eohn HS-W c4-1,B 3 b,159216.148,716.59375,-107.71875,58046.65625,tellurium
Outotz KD-K d8-13,BC 9 a,442756.3733,1.53125,36,-1547.71875,tellurium
Hegeia ZY-R d4-7,B 5 c,215270.7333,-1531.03125,308.96875,-3164.375,tellurium
Thuecheae SL-J d10-7,B 1 b,175206.608,-2259.03125,-44.96875,53584.4375,tellurium
Plae Thaa XD-S c4-8,B 2 b,109248.7948,17114.46875,197.34375,-3397.3125,tellurium
Iorant NT-Z d13-0,BC 7 c,348731.2621,-778.96875,62.1875,65420.5,tellurium
Whuefua AC-J d10-0,B 11 c,195388.4882,19833.78125,-1492.4375,-132.59375,tellurium
Syritchou FK-Y c14-3,B 3 b,539321.4232,-18248.59375,114.375,54621.9375,tellurium
Spliehn CC-D d12-10,B 10,114777.8985,16805.28125,34.53125,-12792.25,tellurium
Hypo Aeb YI-F c25-0,CD 8 a,15189.44988,-10139.6875,178.53125,-7661.625,tellurium
Eowrairks LX-L d7-1,C 13 a,152511.5334,-2214.71875,-14.875,59739.90625,tellurium
Pleia Aoc HL-P d5-7,C 3 b,168274.9252,23729.9375,4.90625,37844.5625,tellurium
Ceeckia VW-N c9-1,C 1 f,48471.73069,-820.9375,-142.40625,64620.90625,tellurium
Thuecheae LI-I c26-30,B 5 d,19711.40484,-2171.65625,-78.21875,53850.75,tellurium
Cliewuae TP-V d3-0,B 11 a,415370.5732,-3498.5,-175,60699.25,tellurium
Pheia Aewsy IL-N c20-5,B 5 a,16334.84148,1010.28125,46.6875,-6551.65625,tellurium
NGC 1893 Sector XJ-Z d1,BCD 3 a,13519.53647,-1155.5625,-175.3125,-10864.1875,tellurium
Jellyfish Sector DL-Y d8,B 4 c,199632.1561,772.34375,265.46875,-4941.875,tellurium
Systeasai WR-N c6-0,C 7 a,42327.0508,-35074.34375,-19.625,33782.0625,tellurium
Phooe Flaae NM-W d1-41,CD 1 e,179497.27,-27800.625,-14.625,23479.59375,tellurium
Jellyfish Sector HR-W d1-32,B 8 e,48936.26666,765.75,226.875,-4842.75,tellurium
Cheae Euq OJ-I d9-2,B 9 a,192092.5938,-22.03125,32.84375,61212.96875,tellurium
Col 89 Sector NT-I d9-30,B 7 b,393827.2954,250.5625,-157.375,-4010.875,tellurium
Hypisc GA-A d1,B 3 b,223086.9246,11973.75,-7.0625,-8672.84375,tellurium
Ouchoxy NA-A c11,B 5 c,91582.43037,20961.3125,2.09375,-2335.09375,tellurium
Aidomt LQ-Y d0,B 3 b,420639.1855,13666.40625,208.78125,-15038.15625,tellurium
Eos Freau ZW-J d9-2,B 2 a,20201.38229,-30640.96875,660.46875,20286.90625,tellurium
Eorld Graae ZN-S c20-1,B 4 b,97280.13966,-33842.65625,-176.21875,30558.40625,tellurium
Thuecheae IK-C d14-53,B 2 a,369292.8671,-2280.1875,-76.78125,53945.53125,tellurium
Syrivoe PR-F c26-1,B 4 a,263751.2793,-13600.5625,618.3125,55113.34375,tellurium
Wraukio GH-U e3-0,B 18 a,131746.6927,-38982.09375,-115.6875,35494.6875,tellurium
Ploi Thua JB-L c9-0,B 2,45448.75471,-420.03125,537.71875,-3221.6875,tellurium
Schafaae LI-I c23-0,C 5 a,93081.07389,-12071.03125,58.65625,-7711.71875,tellurium
Phoi Aec HT-Z d13-20,C 4 a,135949.7129,1343.34375,88.53125,-6224.625,tellurium
Rhoolaa EB-D c29-2,DE 2 a,46582.48359,5790.09375,-80.375,61644.3125,tellurium
Plae Broo MS-J c22-4,B 7 a,93031.27819,-23556.8125,10.0625,51097.25,tellurium
Phroea Phio IK-I c12-16,BCD 1 b,14381.89676,2989.78125,-160.8125,-4366.375,tellurium
Hypuae Ain YP-G d10-61,B 9 a,58346.96227,470,-9.90625,-5286.6875,tellurium
NGC 2244 Sector ZI-S c4-1,B 2 b,43866.80649,2355.6875,-337.375,-4435.75,tellurium
Eor Aescs NM-U c16-0,B 11 a,15657.02325,-6902.25,17.46875,-13140.96875,tellurium
Hypoae Aihm RS-N c21-5,B 3 d,144847.5755,2566.71875,476.28125,-5244.21875,tellurium
Myoangua KC-L d8-48,B 10 c,167338.708,-14566.28125,398.59375,41929.90625,tellurium
Swuemao SA-I c12-1,B 3 c,156511.7939,-24939.0625,-251.84375,49385.8125,tellurium
Spaidou CC-D d12-0,B 8 d,53696.04177,100.78125,23.125,-8975.15625,tellurium
Swauwry KV-C c26-0,B 2 a,114963.7204,37220.75,18.75,14136.9375,tellurium
Sphaulooe BV-X c1-0,BC 2 c,173305.4178,27096.53125,-990.28125,28458.71875,tellurium
Nyauthou QU-W d2-19,B 11 e,114697.4685,-2618.75,-385.4375,55537.96875,tellurium
Eock Phio SC-K c25-0,B 3 b,242683.1559,23856.3125,-104.5625,-10220.5625,tellurium
Wizz FR-M d7-0,C 5 a,120700.4152,22272.8125,307.0625,-11866.8125,tellurium
Ploadue OS-U d2-4,B 3 f,12957.04328,-35665.8125,-13.78125,14592.21875,tellurium
Gludgaa GF-F c12-3,B 2 a,319275.2904,-209.4375,426.46875,-4347.40625,tellurium
Gludgeia ZF-O c6-17,B 2 b,326840.9786,1353.1875,109.8125,-4593.6875,tellurium
Col 89 Sector JN-J d9-1,C 10 c,122803.2164,513.8125,142.84375,-4013.1875,tellurium
Gludgae ZI-V c17-2,B 5,92800.416,2714.59375,597.375,-4105.96875,tellurium
Myeia Thaa BD-D c12-1,BC 1 c,16109.60347,-1520.71875,-13.875,64765.875,tellurium
Blooe Prao RY-D c1-3,B 1 d,46245.60562,22568.28125,-91.3125,45085.9375,tellurium
Myeadou CF-R d4-43,B 12 b,35334.22763,3176.375,-17.25,-7043.34375,tellurium
Iowroft DI-L c24-0,B 5,184250.1844,30615.8125,-220.84375,10218.6875,tellurium
Dryoi Eaec JY-Y d1-0,B 2 a,107613.072,-3768,-207.5,-9814.90625,tellurium
Myoidia BV-P d5-25,B 3 a,68791.09066,-17414.28125,185.375,-6918.09375,tellurium
Drooteia QQ-N c23-7,BC 5 a,35287.27745,-25791.6875,-80.75,52417.6875,tellurium
Nuwo NJ-C c2-0,B 9,370936.9183,-739.875,-61.8125,61736.09375,tellurium
Outotz HD-J d9-3,B 9 a,190783.0317,47.59375,311.6875,-1471.1875,tellurium
Pra Drya LE-G d11-0,BC 4 a,220235.071,-25421.21875,-737.125,1184.71875,tellurium
Oochorrs NF-L d9-12,B 4 b,207972.4876,215.9375,-55.03125,-1490.96875,tellurium
Spliehn LY-I d9-5,B 2 b,119767.3246,16845.75,287.53125,-13063.0625,tellurium
NGC 2244 Sector ZI-S c4-1,B 2 a,43862.08474,2355.6875,-337.375,-4435.75,tellurium
Ceeckaea JT-B c16-0,B 3 a,88809.7551,-1542.125,-104.78125,64897.46875,tellurium
Phroea Phio HQ-A c3-1,B 1 c,25102.17547,3758.75,-63.65625,-4784.03125,tellurium
Prae Eaescs TK-C d14-17,B 7 b,237005.649,-33381.71875,-81.96875,11702.1875,tellurium
Thuecheae XQ-K d9-16,B 2 b,292556.2715,-1992.0625,-308.03125,53520.625,tellurium
Thuecheae YP-N c23-6,CD 1 d,105736.3725,-2214.84375,-79.4375,53704.59375,tellurium
Hegue WZ-P d5-1,B 3 b,53609.40557,4167.46875,288.5625,-3121.0625,tellurium
Fraufoo JI-S c4-0,B 7,142216.2606,-25624.4375,-1060.6875,1696.71875,tellurium
Ruvoea TL-B d14-0,B 4 e,513942.8873,-26520.375,811.90625,50077.34375,tellurium
HIP 36601,C 3 b,152970.9757,337.8125,562.96875,-1457.84375,tellurium
Blie Aub NO-T c3-0,B 1 b,40358.49345,20296.9375,96.84375,45180.40625,tellurium
Wizz IQ-P d5-5,E 7 h,86639.97308,22657.71875,84.1875,-12049.4375,tellurium
Phroea Phio DN-M c23-2,B 4 b,26608.32553,3669.46875,-314.4375,-3868.28125,tellurium
Koijoo GG-V d3-6,B 7 c,42713.159,-28331.28125,958.375,32575.9375,tellurium
Gludgaa UA-F d11-56,BC 3 b,21398.31339,-1279.5625,91.84375,-3905.21875,tellurium
Phae Aim DB-V d3-0,B 3 d,79034.67572,12187.96875,856.78125,-4571.875,tellurium
Auphaibs SZ-M d8-37,B 5 b,105569.9959,-320.15625,-58.375,50908.59375,tellurium
Gongae TU-M d8-1,C 2 b,140593.4239,-462.09375,-181.34375,-9287.5625,tellurium
Syroangooe WH-P c7-2,B 13 c,247602.1186,-21821.96875,-566.6875,41522.09375,tellurium
Tyroelk EK-R d4-10,B 3 a,164847.6249,17603.84375,57.9375,50594.5,tellurium
Iorady DJ-S c4-0,B 1 b,41590.87514,778.40625,216.78125,64416.625,tellurium
Slehe WZ-G c10-1,C 2 e,56355.66971,30984.40625,69.84375,9654.21875,tellurium
Preia Byio RT-O d7-115,C 6 a,131490.1705,3721.90625,-28.84375,52134.15625,tellurium
Dryoi Eaec XK-V d3-0,B 1,91675.03859,-3319.71875,-203.21875,-9694.21875,tellurium
Oodgolf IM-W d1-3,B 6,260189.7257,30721.4375,27.8125,10653.15625,tellurium
NGC 2281 Sector EW-W d1-2,C 4 b,305709.1085,-277.71875,566.6875,-1745.59375,tellurium
Col 69 Sector BA-Z c0,B 4 a,42604.65537,285.09375,-457.6875,-1590.21875,tellurium
Ewrobb GM-M d7-9,B 11 b,17700.32186,-30270.03125,257.53125,9837.78125,tellurium
Skull and Crossbones Neb. Sector FL-Y d4,B 1 a,405390.6199,13469.6875,83.09375,-6775.4375,tellurium
Bleia Byoe YC-W c4-16,B 4,185997.2524,-1161.53125,-256.625,55459.5625,tellurium
